image_id,method,dataset,iou,dice,precision,recall,f1
deepcrack_0000,ampf,deepcrack,0.5890207715133531,0.7413632119514473,0.6100392692504695,0.9447382337387625,0.7413632119514472
deepcrack_0001,ampf,deepcrack,0.693789584799437,0.8192157881069851,0.7870472008781558,0.8541260558804419,0.8192157881069853
deepcrack_0002,ampf,deepcrack,0.6819477241266998,0.8109024012393493,0.7500447787927638,0.8825079030558483,0.8109024012393493
deepcrack_0003,ampf,deepcrack,0.528051360618662,0.6911434709954644,0.5990730011587485,0.8166535033284441,0.6911434709954642
deepcrack_0004,ampf,deepcrack,0.6480469270763898,0.7864423232486653,0.8411489877141374,0.7384171350448124,0.7864423232486653
deepcrack_0005,ampf,deepcrack,0.6054179290679024,0.7542184724689165,0.7794860027535567,0.7305376344086022,0.7542184724689166
deepcrack_0006,ampf,deepcrack,0.38666666666666666,0.5576923076923077,0.6990358126721763,0.4638939670932358,0.5576923076923077
deepcrack_0007,ampf,deepcrack,0.7208445040214477,0.83777994157741,0.858339984038308,0.8181818181818182,0.83777994157741
deepcrack_0008,ampf,deepcrack,0.743046357615894,0.8525835866261399,0.9048387096774193,0.8060344827586207,0.8525835866261399
deepcrack_0009,ampf,deepcrack,0.657167530224525,0.7931214174048984,0.7861570247933884,0.8002103049421662,0.7931214174048985
deepcrack_0010,ampf,deepcrack,0.39094650205761317,0.5621301775147929,0.641169853768279,0.5004389815627743,0.5621301775147929
deepcrack_0011,ampf,deepcrack,0.7297415681121332,0.8437579133957964,0.8003843382176316,0.8921017402945114,0.8437579133957964
deepcrack_0012,ampf,deepcrack,0.47656682452795374,0.6455066125169218,0.9808848661307678,0.481034268686367,0.6455066125169218
deepcrack_0013,ampf,deepcrack,0.4483398786147804,0.6191086570696115,0.9517962710322874,0.4587564842551326,0.6191086570696115
deepcrack_0014,ampf,deepcrack,0.43986978169283797,0.6109855033914084,0.9106045589692765,0.45972180526368456,0.6109855033914083
deepcrack_0015,ampf,deepcrack,0.2586172243995578,0.4109545291229191,0.9665727699530516,0.2609511255323464,0.4109545291229191
deepcrack_0016,ampf,deepcrack,0.3550946989736536,0.5240883891621769,0.5819316802496965,0.47670454545454544,0.5240883891621769
deepcrack_0017,ampf,deepcrack,0.23982229711615793,0.3868655978747722,0.9045211613462372,0.24605108055009822,0.3868655978747722
deepcrack_0018,ampf,deepcrack,0.48023846323691766,0.6488663484486874,0.8446601941747572,0.5267619278275611,0.6488663484486873
deepcrack_0019,ampf,deepcrack,0.4140683774972833,0.5856412378447078,0.9800178059155208,0.41759399763952115,0.5856412378447078
deepcrack_0020,ampf,deepcrack,0.6095137655417406,0.7573886953822809,0.9510653040013858,0.6292476075869577,0.7573886953822808
deepcrack_0021,ampf,deepcrack,0.7129646754207509,0.8324335996545023,0.9336401065633325,0.7510227936879018,0.8324335996545024
deepcrack_0022,ampf,deepcrack,0.5228847914214725,0.6867030183332617,0.9710989678202793,0.5311503719447397,0.6867030183332617
deepcrack_0023,ampf,deepcrack,0.6434293401822295,0.7830325581395349,0.9382914214374889,0.6718600344805568,0.7830325581395349
deepcrack_0024,ampf,deepcrack,0.48204649923389514,0.6505146761361082,0.9291217257318952,0.5004495469949513,0.6505146761361082
deepcrack_0025,ampf,deepcrack,0.6899555859241544,0.8165369453148691,0.8224394217063734,0.8107185869128863,0.8165369453148691
deepcrack_0026,ampf,deepcrack,0.7537511032656664,0.8595873175641671,0.8743281289992322,0.8453353130413264,0.8595873175641671
deepcrack_0027,ampf,deepcrack,0.508763388510224,0.6744111003549532,0.5324388586956522,0.9196245233206218,0.6744111003549532
deepcrack_0028,ampf,deepcrack,0.562489126022154,0.7199910919753545,0.688604898828541,0.7543750486116513,0.7199910919753546
deepcrack_0029,ampf,deepcrack,0.5355477120887432,0.6975331445224315,0.9998823252530007,0.535581468641664,0.6975331445224315
deepcrack_0030,ampf,deepcrack,0.6076852041863329,0.7559753645849954,0.9999155833192639,0.6077163819198604,0.7559753645849955
deepcrack_0031,ampf,deepcrack,0.8825828061034611,0.9376297321340318,0.9989469250210615,0.8834047308623579,0.9376297321340319
deepcrack_0032,ampf,deepcrack,0.6141885325558795,0.7609873570138471,0.6368399838774688,0.9452587496260844,0.760987357013847
deepcrack_0033,ampf,deepcrack,0.7987594762232942,0.8881226053639847,0.8462942679810149,0.9343006852075776,0.8881226053639846
deepcrack_0034,ampf,deepcrack,0.7433171799280913,0.8527618364418939,0.7601918465227818,0.9710026546865428,0.852761836441894
deepcrack_0035,ampf,deepcrack,0.6067166723491306,0.7552254641909815,0.7019723865877712,0.8172215843857635,0.7552254641909814
deepcrack_0036,ampf,deepcrack,0.5666158794650414,0.7233628701102226,1.0,0.5666158794650414,0.7233628701102226
deepcrack_0037,ampf,deepcrack,0.27018968796586645,0.42543202881541137,0.9749582637729549,0.2720778548503986,0.4254320288154114
deepcrack_0038,ampf,deepcrack,0.46161074157414506,0.6316466189581958,0.9880385307505029,0.46420489866965065,0.631646618958196
deepcrack_0039,ampf,deepcrack,0.1637390525477707,0.281401663352789,0.9042319318494092,0.16662868717559184,0.28140166335278904
deepcrack_0040,ampf,deepcrack,0.686204431736955,0.8139041966935142,0.743225806451613,0.8994378513429107,0.8139041966935142
deepcrack_0041,ampf,deepcrack,0.5908178625188159,0.7427850496767071,0.9672450970325496,0.60288,0.7427850496767071
deepcrack_0042,ampf,deepcrack,0.38550716130547075,0.556485267015485,0.9310320385596824,0.39683978367926526,0.5564852670154851
deepcrack_0043,ampf,deepcrack,0.5062168254199084,0.672169925174994,0.9561873369042714,0.5182373083221676,0.672169925174994
deepcrack_0044,ampf,deepcrack,0.7031848760963979,0.8257293567660808,0.9765832889835019,0.7152446946730187,0.8257293567660808
deepcrack_0045,ampf,deepcrack,0.8277140335392763,0.9057369132702338,0.8489951113525258,0.9706064996895053,0.9057369132702336
deepcrack_0046,ampf,deepcrack,0.6500318268618714,0.7879021680425893,0.677368002122579,0.9415452701456758,0.7879021680425894
deepcrack_0047,ampf,deepcrack,0.5038303693570452,0.6700627672155007,0.589562990235313,0.7760219131900548,0.6700627672155008
deepcrack_0048,ampf,deepcrack,0.6169330242771746,0.7630903878074543,0.6272637062763582,0.9739984591679507,0.7630903878074543
deepcrack_0049,ampf,deepcrack,0.8224486083318173,0.9025753643441805,0.8482176360225141,0.9643771331058021,0.9025753643441805
